Freq;Real;Imaginaria
1.00000000000000e+01;2.07504126647297e-05;4.55521482315642e-03
2.00000000000000e+01;8.29964840250392e-05;9.10986254609139e-03
3.00000000000000e+01;1.86722717395049e-04;1.36633763038957e-02
4.00000000000000e+01;3.31903295680423e-04;1.82151897020794e-02
5.00000000000000e+01;5.18502097438498e-04;2.27647370512697e-02
6.00000000000000e+01;7.46472719336348e-04;2.73114536012940e-02
7.00000000000000e+01;1.01575850498075e-03;3.18547757744472e-02
8.00000000000000e+01;1.32629258008659e-03;3.63941413977387e-02
9.00000000000000e+01;1.67799789394312e-03;4.09289899339214e-02
1.00000000000000e+02;2.07078726712993e-03;4.54587627111013e-02
1.10000000000000e+02;2.50456344542778e-03;4.99829031507336e-02
1.20000000000000e+02;2.97921915986211e-03;5.45008569938090e-02
1.30000000000000e+02;3.49463719281012e-03;5.90120725250414e-02
1.40000000000000e+02;4.05069045009580e-03;6.35160007948651e-02
1.50000000000000e+02;4.64724203899032e-03;6.80120958390591e-02
1.60000000000000e+02;5.28414535202888e-03;7.24998148958155e-02
1.70000000000000e+02;5.96124415654874e-03;7.69786186200737e-02
1.80000000000000e+02;6.67837268984688e-03;8.14479712949463e-02
1.90000000000000e+02;7.43535575985009e-03;8.59073410400680e-02
2.00000000000000e+02;8.23200885118391e-03;9.03562000167002e-02
2.10000000000000e+02;9.06813823652200e-03;9.47940246294318e-02
2.20000000000000e+02;9.94354109309153e-03;9.92202957243201e-02
2.30000000000000e+02;1.08580056242052e-02;1.03634498783320e-01
2.40000000000000e+02;1.18113111856860e-02;1.08036124114857e-01
2.50000000000000e+02;1.28032284170451e-02;1.12424667040406e-01
2.60000000000000e+02;1.38335193772707e-02;1.16799628076931e-01
2.70000000000000e+02;1.49019376850782e-02;1.21160513115075e-01
2.80000000000000e+02;1.60082286634730e-02;1.25506833592960e-01
2.90000000000000e+02;1.71521294884675e-02;1.29838106665487e-01
3.00000000000000e+02;1.83333693417967e-02;1.34153855369027e-01
3.10000000000000e+02;1.95516695674682e-02;1.38453608781399e-01
3.20000000000000e+02;2.08067438319836e-02;1.42736902177026e-01
3.30000000000000e+02;2.20982982880625e-02;1.47003277177192e-01
3.40000000000000e+02;2.34260317417009e-02;1.51252281895308e-01
3.50000000000000e+02;2.47896358223914e-02;1.55483471077104e-01
3.60000000000000e+02;2.61887951563314e-02;1.59696406235679e-01
3.70000000000000e+02;2.76231875424455e-02;1.63890655781348e-01
3.80000000000000e+02;2.90924841310440e-02;1.68065795146213e-01
3.90000000000000e+02;3.05963496049419e-02;1.72221406903422e-01
4.00000000000000e+02;3.21344423628589e-02;1.76357080881055e-01
4.10000000000000e+02;3.37064147049235e-02;1.80472414270612e-01
4.20000000000000e+02;3.53119130201011e-02;1.84567011730054e-01
4.30000000000000e+02;3.69505779753677e-02;1.88640485481389e-01
4.40000000000000e+02;3.86220447064526e-02;1.92692455402762e-01
4.50000000000000e+02;4.03259430099700e-02;1.96722549115059e-01
4.60000000000000e+02;4.20618975367641e-02;2.00730402062993e-01
4.70000000000000e+02;4.38295279862921e-02;2.04715657590696e-01
4.80000000000000e+02;4.56284493018698e-02;2.08677967011797e-01
4.90000000000000e+02;4.74582718666072e-02;2.12616989674020e-01
5.00000000000000e+02;4.93186016998627e-02;2.16532393018303e-01
5.10000000000000e+02;5.12090406540474e-02;2.20423852632467e-01
5.20000000000000e+02;5.31291866116116e-02;2.24291052299462e-01
5.30000000000000e+02;5.50786336820489e-02;2.28133684040230e-01
5.40000000000000e+02;5.70569723987564e-02;2.31951448151211e-01
5.50000000000000e+02;5.90637899155903e-02;2.35744053236550e-01
5.60000000000000e+02;6.10986702029624e-02;2.39511216235048e-01
5.70000000000000e+02;6.31611942433220e-02;2.43252662441913e-01
5.80000000000000e+02;6.52509402258745e-02;2.46968125525368e-01
5.90000000000000e+02;6.73674837403888e-02;2.50657347538183e-01
6.00000000000000e+02;6.95103979699515e-02;2.54320078924198e-01
6.10000000000000e+02;7.16792538825273e-02;2.57956078519913e-01
6.20000000000000e+02;7.38736204211899e-02;2.61565113551207e-01
6.30000000000000e+02;7.60930646928920e-02;2.65146959625290e-01
6.40000000000000e+02;7.83371521556456e-02;2.68701400717951e-01
6.50000000000000e+02;8.06054468039898e-02;2.72228229156197e-01
6.60000000000000e+02;8.28975113526250e-02;2.75727245596380e-01
6.70000000000000e+02;8.52129074180998e-02;2.79198258997892e-01
6.80000000000000e+02;8.75511956984373e-02;2.82641086592539e-01
6.90000000000000e+02;8.99119361505961e-02;2.86055553849680e-01
7.00000000000000e+02;9.22946881656617e-02;2.89441494437244e-01
7.10000000000000e+02;9.46990107416724e-02;2.92798750178721e-01
7.20000000000000e+02;9.71244626539838e-02;2.96127171006240e-01
7.30000000000000e+02;9.95706026230853e-02;2.99426614909832e-01
7.40000000000000e+02;1.02036989479782e-01;3.02696947883002e-01
7.50000000000000e+02;1.04523182327666e-01;3.05938043864707e-01
7.60000000000000e+02;1.07028740702791e-01;3.09149784677858e-01
7.70000000000000e+02;1.09553224730501e-01;3.12332059964471e-01
7.80000000000000e+02;1.12096195279318e-01;3.15484767117557e-01
7.90000000000000e+02;1.14657214111849e-01;3.18607811209893e-01
8.00000000000000e+02;1.17235844032651e-01;3.21701104919773e-01
8.10000000000000e+02;1.19831649032986e-01;3.24764568453859e-01
8.20000000000000e+02;1.22444194432443e-01;3.27798129467258e-01
8.30000000000000e+02;1.25073047017357e-01;3.30801722980928e-01
8.40000000000000e+02;1.27717775175997e-01;3.33775291296541e-01
8.50000000000000e+02;1.30377949030498e-01;3.36718783908915e-01
8.60000000000000e+02;1.33053140565474e-01;3.39632157416135e-01
8.70000000000000e+02;1.35742923753325e-01;3.42515375427475e-01
8.80000000000000e+02;1.38446874676175e-01;3.45368408469238e-01
8.90000000000000e+02;1.41164571644448e-01;3.48191233888632e-01
9.00000000000000e+02;1.43895595312060e-01;3.50983835755791e-01
9.10000000000000e+02;1.46639528788204e-01;3.53746204764062e-01
9.20000000000000e+02;1.49395957745733e-01;3.56478338128656e-01
9.30000000000000e+02;1.52164470526129e-01;3.59180239483789e-01
9.40000000000000e+02;1.54944658241059e-01;3.61851918778415e-01
9.50000000000000e+02;1.57736114870519e-01;3.64493392170658e-01
9.60000000000000e+02;1.60538437357566e-01;3.67104681921052e-01
9.70000000000000e+02;1.63351225699662e-01;3.69685816284693e-01
9.80000000000000e+02;1.66174083036621e-01;3.72236829402410e-01
9.90000000000000e+02;1.69006615735186e-01;3.74757761191046e-01
1.00000000000000e+03;1.71848433470256e-01;3.77248657232965e-01
1.01000000000000e+03;1.74699149302769e-01;3.79709568664865e-01
1.02000000000000e+03;1.77558379754279e-01;3.82140552066009e-01
1.03000000000000e+03;1.80425744878239e-01;3.84541669345952e-01
1.04000000000000e+03;1.83300868328035e-01;3.86912987631875e-01
1.05000000000000e+03;1.86183377421774e-01;3.89254579155589e-01
1.06000000000000e+03;1.89072903203890e-01;3.91566521140333e-01
1.07000000000000e+03;1.91969080503579e-01;3.93848895687406e-01
1.08000000000000e+03;1.94871547990103e-01;3.96101789662763e-01
1.09000000000000e+03;1.97779948225016e-01;3.98325294583618e-01
1.10000000000000e+03;2.00693927711331e-01;4.00519506505151e-01
1.11000000000000e+03;2.03613136939685e-01;4.02684525907398e-01
1.12000000000000e+03;2.06537230431540e-01;4.04820457582382e-01
1.13000000000000e+03;2.09465866779461e-01;4.06927410521569e-01
1.14000000000000e+03;2.12398708684526e-01;4.09005497803724e-01
1.15000000000000e+03;2.15335422990909e-01;4.11054836483206e-01
1.16000000000000e+03;2.18275680717683e-01;4.13075547478806e-01
1.17000000000000e+03;2.21219157087901e-01;4.15067755463153e-01
1.18000000000000e+03;2.24165531554995e-01;4.17031588752772e-01
1.19000000000000e+03;2.27114487826555e-01;4.18967179198844e-01
1.20000000000000e+03;2.30065713885533e-01;4.20874662078715e-01
1.21000000000000e+03;2.33018902008928e-01;4.22754175988223e-01
1.22000000000000e+03;2.35973748784007e-01;4.24605862734878e-01
1.23000000000000e+03;2.38929955122114e-01;4.26429867231950e-01
1.24000000000000e+03;2.41887226270120e-01;4.28226337393519e-01
1.25000000000000e+03;2.44845271819579e-01;4.29995424030507e-01
1.26000000000000e+03;2.47803805713632e-01;4.31737280747762e-01
1.27000000000000e+03;2.50762546251725e-01;4.33452063842216e-01
1.28000000000000e+03;2.53721216092194e-01;4.35139932202150e-01
1.29000000000000e+03;2.56679542252769e-01;4.36801047207625e-01
1.30000000000000e+03;2.59637256109061e-01;4.38435572632079e-01
1.31000000000000e+03;2.62594093391083e-01;4.40043674545150e-01
1.32000000000000e+03;2.65549794177861e-01;4.41625521216739e-01
1.33000000000000e+03;2.68504102890192e-01;4.43181283022337e-01
1.34000000000000e+03;2.71456768281608e-01;4.44711132349656e-01
1.35000000000000e+03;2.74407543427594e-01;4.46215243506569e-01
1.36000000000000e+03;2.77356185713124e-01;4.47693792630399e-01
1.37000000000000e+03;2.80302456818562e-01;4.49146957598557e-01
1.38000000000000e+03;2.83246122703989e-01;4.50574917940564e-01
1.39000000000000e+03;2.86186953592005e-01;4.51977854751461e-01
1.40000000000000e+03;2.89124723949062e-01;4.53355950606629e-01
1.41000000000000e+03;2.92059212465382e-01;4.54709389478030e-01
1.42000000000000e+03;2.94990202033511e-01;4.56038356651871e-01
1.43000000000000e+03;2.97917479725561e-01;4.57343038647721e-01
1.44000000000000e+03;3.00840836769188e-01;4.58623623139065e-01
1.45000000000000e+03;3.03760068522371e-01;4.59880298875322e-01
1.46000000000000e+03;3.06674974447016e-01;4.61113255605321e-01
