Freq.;Real;Imaginaria
1.00000000000000e+01;1.27131141992158e-03;3.32573716195501e-02
2.00000000000000e+01;5.06769955929269e-03;6.62548626564403e-02
3.00000000000000e+01;1.13371175353083e-02;9.87384450951524e-02
4.00000000000000e+01;1.99947552211097e-02;1.30465522080647e-01
5.00000000000000e+01;3.09258157200981e-02;1.61209980331235e-01
6.00000000000000e+01;4.39891640161466e-02;1.90766505088177e-01
7.00000000000000e+01;5.90216371201710e-02;2.18954001616639e-01
8.00000000000000e+01;7.58427801077460e-02;2.45618030766158e-01
9.00000000000000e+01;9.42597672442823e-02;2.70632231168292e-01
1.00000000000000e+02;1.14072280390006e-01;2.93898761165707e-01
1.10000000000000e+02;1.35077144721204e-01;3.15347844641454e-01
1.20000000000000e+02;1.57072560024976e-01;3.34936543355355e-01
1.30000000000000e+02;1.79861809565912e-01;3.52646902827370e-01
1.40000000000000e+02;2.03256373207817e-01;3.68483629534530e-01
1.50000000000000e+02;2.27078413295759e-01;3.82471455813664e-01
1.60000000000000e+02;2.51162638007447e-01;3.94652337836645e-01
1.70000000000000e+02;2.75357575836020e-01;4.05082614175255e-01
1.80000000000000e+02;2.99526315970962e-01;4.13830230604375e-01
1.90000000000000e+02;3.23546782839998e-01;4.20972113394918e-01
2.00000000000000e+02;3.47311619796010e-01;4.26591750423552e-01
2.10000000000000e+02;3.70727758061336e-01;4.30777018420526e-01
2.20000000000000e+02;3.93715743895790e-01;4.33618276496890e-01
2.30000000000000e+02;4.16208890826293e-01;4.35206731176897e-01
2.40000000000000e+02;4.38152315821309e-01;4.35633066580348e-01
2.50000000000000e+02;4.59501909472675e-01;4.34986324959565e-01
2.60000000000000e+02;4.80223281304185e-01;4.33353017137155e-01
2.70000000000000e+02;5.00290712793859e-01;4.30816439070018e-01
2.80000000000000e+02;5.19686142922787e-01;4.27456169315819e-01
2.90000000000000e+02;5.38398204242756e-01;4.23347722154474e-01
3.00000000000000e+02;5.56421321664502e-01;4.18562332120237e-01
3.10000000000000e+02;5.73754881400450e-01;4.13166847390793e-01
3.20000000000000e+02;5.90402473685697e-01;4.07223711583615e-01
3.30000000000000e+02;6.06371209950494e-01;4.00791015813259e-01
3.40000000000000e+02;6.21671112912262e-01;3.93922605207577e-01
3.50000000000000e+02;6.36314576477117e-01;3.86668226354312e-01
3.60000000000000e+02;6.50315891276652e-01;3.79073704278300e-01
3.70000000000000e+02;6.63690831011703e-01;3.71181139489648e-01
3.80000000000000e+02;6.76456294439970e-01;3.63029117373113e-01
3.90000000000000e+02;6.88629997750780e-01;3.54652923703333e-01
4.00000000000000e+02;7.00230212153374e-01;3.46084761375264e-01
4.10000000000000e+02;7.11275541712264e-01;3.37353964547362e-01
4.20000000000000e+02;7.21784736752678e-01;3.28487207323937e-01
4.30000000000000e+02;7.31776538498471e-01;3.19508704871988e-01
4.40000000000000e+02;7.41269550969465e-01;3.10440405496479e-01
4.50000000000000e+02;7.50282136536695e-01;3.01302172705513e-01
4.60000000000000e+02;7.58832331899556e-01;2.92111956701158e-01
4.70000000000000e+02;7.66937781599201e-01;2.82885955049042e-01
4.80000000000000e+02;7.74615686512079e-01;2.73638762524723e-01
4.90000000000000e+02;7.81882765072620e-01;2.64383510320068e-01
5.00000000000000e+02;7.88755225253286e-01;2.55131994929280e-01
5.10000000000000e+02;7.95248745583036e-01;2.45894797131249e-01
5.20000000000000e+02;8.01378463712333e-01;2.36681391550417e-01
5.30000000000000e+02;8.07158971235299e-01;2.27500247318962e-01
5.40000000000000e+02;8.12604313658993e-01;2.18358920384265e-01
5.50000000000000e+02;8.17727994567967e-01;2.09264138011836e-01
5.60000000000000e+02;8.22542983170893e-01;2.00221876028800e-01
5.70000000000000e+02;8.27061724537252e-01;1.91237429339603e-01
5.80000000000000e+02;8.31296151937403e-01;1.82315476226209e-01
5.90000000000000e+02;8.35257700790833e-01;1.73460136921566e-01
6.00000000000000e+02;8.38957323806233e-01;1.64675026919004e-01
6.10000000000000e+02;8.42405506965206e-01;1.55963305452637e-01
6.20000000000000e+02;8.45612286059746e-01;1.47327719555694e-01
6.30000000000000e+02;8.48587263543743e-01;1.38770644075579e-01
6.40000000000000e+02;8.51339625501507e-01;1.30294117996947e-01
6.50000000000000e+02;8.53878158572711e-01;1.21899877397443e-01
6.60000000000000e+02;8.56211266704084e-01;1.13589385335327e-01
6.70000000000000e+02;8.58346987624382e-01;1.05363858944042e-01
6.80000000000000e+02;8.60293008961242e-01;9.72242939860691e-02
6.90000000000000e+02;8.62056683937161e-01;8.91714870971527e-02
7.00000000000000e+02;8.63645046597375e-01;8.12060559321399e-02
7.10000000000000e+02;8.65064826535469e-01;7.33284574053329e-02
7.20000000000000e+02;8.66322463093331e-01;6.55390042012417e-02
7.30000000000000e+02;8.67424119020999e-01;5.78378797159762e-02
7.40000000000000e+02;8.68375693589307e-01;5.02251515751260e-02
7.50000000000000e+02;8.69182835154204e-01;4.27007838607778e-02
7.60000000000000e+02;8.69850953176467e-01;3.52646481682305e-02
7.70000000000000e+02;8.70385229704413e-01;2.79165336019276e-02
7.80000000000000e+02;8.70790630330264e-01;2.06561558100459e-02
